标题,总价,单价,面积,户型,楼层,建成年份,小区,区域,标签,链接,关注人数,发布时间
"金科精装三房，朝中庭住家安静，享洋房物业","138万","14,831元/平","93.05平米","3室2厅","低楼层                                     (共33层)","2019年","金科天元道砚北B区","重庆渝北","满五年;VR看装修;随时看房","https://cq.ke.com/ershoufang/106123420709.html","49人关注","1月前发布"
"金科品质,户型方正,视野开阔,诚心出售","128万","11,763元/平","108.82平米","3室1厅","高楼层                                     (共33层)","2019年","金科天元道砚北B区","重庆渝北","近地铁;满五年;VR看装修;随时看房","https://cq.ke.com/ershoufang/106122511790.html","13人关注","4月前发布"
"嘉陵江畔，多公园环抱，住家舒适。","129万","12,235元/平","105.44平米","中楼层                                     (共31层)                                                                   3室2厅","未知","未知","新江与城悠澜","重庆渝北","VR房源;随时看房","https://cq.ke.com/ershoufang/106119010136.html","18人关注","1年前发布"
"临江低密度品质小区 龙湖品质物业","125万","11,856元/平","105.44平米","3室2厅","低楼层                                     (共31层)","2019年","新江与城悠澜","重庆渝北","满五年;VR看装修;随时看房","https://cq.ke.com/ershoufang/106108793713.html","49人关注","4年前发布"
"大竹林精装修3房，洋房小区，领包入住","115万","12,366元/平","93平米","3室2厅","中楼层                                     (共33层)","2012年","熙溪地","重庆渝北","VR房源","https://cq.ke.com/ershoufang/106123777539.html","6人关注","1月前发布"
"此房是大竹林精装小三房 朝向好 小区出行方便","145万","13,609元/平","106.55平米","3室2厅","低楼层                                     (共33层)","2010年","江与城","重庆渝北","近地铁;满两年;VR看装修","https://cq.ke.com/ershoufang/106122620937.html","1人关注","3月前发布"
"精装三房 户型方正，近轻轨和金科乐方","125万","11,607元/平","107.7平米","3室2厅","高楼层                                     (共33层)","2010年","江与城","重庆渝北","近地铁;满五年;VR看装修","https://cq.ke.com/ershoufang/106122579853.html","11人关注","4月前发布"
"大竹林精装三房 东南朝向 视野开阔 采光好 通风好","130万","12,872元/平","101平米","3室2厅","中楼层                                     (共34层)","2010年","江与城","重庆渝北","VR看装修","https://cq.ke.com/ershoufang/106122386995.html","85人关注","4月前发布"
"自住精装三房双卫  配套齐全 诚心出售","130万","12,057元/平","107.83平米","3室2厅","高楼层                                     (共34层)","2010年","江与城","重庆渝北","满五年;VR房源;随时看房","https://cq.ke.com/ershoufang/106122147904.html","12人关注","5月前发布"
"正规三房，看体育公园，视野开阔","130万","12,057元/平","107.83平米","3室2厅","高楼层                                     (共34层)","2010年","江与城","重庆渝北","满两年;VR看装修;随时看房","https://cq.ke.com/ershoufang/106119098430.html","26人关注","1年前发布"
